database,projectid,object_type,source_treatmentid,block,replicate,areaid,treatmentid,source_trt_tsr
GAZP,2,plot,2_16,1,7,688,64,0
GAZP,2,plot,2_16,1,8,689,64,0
GAZP,2,plot,2_17,1,1,690,65,0
GAZP,2,plot,2_17,1,1,690,66,2
GAZP,2,plot,2_17,1,1,690,67,4
GAZP,2,plot,2_17,1,1,690,68,6
GAZP,2,plot,2_17,1,1,690,69,8
GAZP,2,plot,2_17,1,1,690,70,10
GAZP,2,plot,2_17,1,1,690,71,12
GAZP,2,plot,2_17,1,1,690,72,14
GAZP,2,plot,2_17,1,1,690,73,16
GAZP,2,plot,2_17,1,2,691,65,0
GAZP,2,plot,2_17,1,2,691,66,2
GAZP,2,plot,2_17,1,2,691,67,4
GAZP,2,plot,2_17,1,2,691,68,6
GAZP,2,plot,2_17,1,2,691,69,8
GAZP,2,plot,2_17,1,2,691,70,10
GAZP,2,plot,2_17,1,2,691,71,12
GAZP,2,plot,2_17,1,2,691,72,14
GAZP,2,plot,2_17,1,2,691,73,16
GAZP,2,plot,2_17,1,3,692,65,0
GAZP,2,plot,2_17,1,3,692,66,2
GAZP,2,plot,2_17,1,3,692,67,4
GAZP,2,plot,2_17,1,3,692,68,6
GAZP,2,plot,2_17,1,3,692,69,8
GAZP,2,plot,2_17,1,3,692,70,10
GAZP,2,plot,2_17,1,3,692,71,12
GAZP,2,plot,2_17,1,3,692,72,14
GAZP,2,plot,2_17,1,3,692,73,16
GAZP,2,plot,2_17,1,4,693,65,0
GAZP,2,plot,2_17,1,4,693,66,2
GAZP,2,plot,2_17,1,4,693,67,4
GAZP,2,plot,2_17,1,4,693,68,6
GAZP,2,plot,2_17,1,4,693,69,8
GAZP,2,plot,2_17,1,4,693,70,10
GAZP,2,plot,2_17,1,4,693,71,12
GAZP,2,plot,2_17,1,4,693,72,14
GAZP,2,plot,2_17,1,4,693,73,16
GAZP,2,plot,2_17,1,5,694,65,0
GAZP,2,plot,2_17,1,5,694,66,2
GAZP,2,plot,2_17,1,5,694,67,4
GAZP,2,plot,2_17,1,5,694,68,6
GAZP,2,plot,2_17,1,5,694,69,8
GAZP,2,plot,2_17,1,5,694,70,10
GAZP,2,plot,2_17,1,5,694,71,12
GAZP,2,plot,2_17,1,5,694,72,14
GAZP,2,plot,2_17,1,5,694,73,16
GAZP,2,plot,2_17,1,6,695,65,0
GAZP,2,plot,2_17,1,6,695,66,2
GAZP,2,plot,2_17,1,6,695,67,4
GAZP,2,plot,2_17,1,6,695,68,6
GAZP,2,plot,2_17,1,6,695,69,8
GAZP,2,plot,2_17,1,6,695,70,10
GAZP,2,plot,2_17,1,6,695,71,12
GAZP,2,plot,2_17,1,6,695,72,14
GAZP,2,plot,2_17,1,6,695,73,16
GAZP,2,plot,2_17,1,7,696,65,0
GAZP,2,plot,2_17,1,7,696,66,2
GAZP,2,plot,2_17,1,7,696,67,4
GAZP,2,plot,2_17,1,7,696,68,6
GAZP,2,plot,2_17,1,7,696,69,8
GAZP,2,plot,2_17,1,7,696,70,10
GAZP,2,plot,2_17,1,7,696,71,12
GAZP,2,plot,2_17,1,7,696,72,14
GAZP,2,plot,2_17,1,7,696,73,16
GAZP,2,plot,2_17,1,8,697,65,0
GAZP,2,plot,2_17,1,8,697,66,2
GAZP,2,plot,2_17,1,8,697,67,4
GAZP,2,plot,2_17,1,8,697,68,6
GAZP,2,plot,2_17,1,8,697,69,8
GAZP,2,plot,2_17,1,8,697,70,10
GAZP,2,plot,2_17,1,8,697,71,12
GAZP,2,plot,2_17,1,8,697,72,14
GAZP,2,plot,2_17,1,8,697,73,16
GAZP,2,plot,2_18,1,1,698,74,0
GAZP,2,plot,2_18,1,1,698,75,2
GAZP,2,plot,2_18,1,1,698,76,4
GAZP,2,plot,2_18,1,1,698,77,6
GAZP,2,plot,2_18,1,1,698,78,8
GAZP,2,plot,2_18,1,1,698,79,10
GAZP,2,plot,2_18,1,1,698,80,12
GAZP,2,plot,2_18,1,1,698,81,14
GAZP,2,plot,2_18,1,1,698,82,16
GAZP,2,plot,2_18,1,2,699,74,0
GAZP,2,plot,2_18,1,2,699,75,2
GAZP,2,plot,2_18,1,2,699,76,4
GAZP,2,plot,2_18,1,2,699,77,6
GAZP,2,plot,2_18,1,2,699,78,8
GAZP,2,plot,2_18,1,2,699,79,10
GAZP,2,plot,2_18,1,2,699,80,12
GAZP,2,plot,2_18,1,2,699,81,14
GAZP,2,plot,2_18,1,2,699,82,16
GAZP,2,plot,2_18,1,3,700,74,0
GAZP,2,plot,2_18,1,3,700,75,2
GAZP,2,plot,2_18,1,3,700,76,4
GAZP,2,plot,2_18,1,3,700,77,6
GAZP,2,plot,2_18,1,3,700,78,8
GAZP,2,plot,2_18,1,3,700,79,10
GAZP,2,plot,2_18,1,3,700,80,12
GAZP,2,plot,2_18,1,3,700,81,14
GAZP,2,plot,2_18,1,3,700,82,16
GAZP,2,plot,2_18,1,4,701,74,0
GAZP,2,plot,2_18,1,4,701,75,2
GAZP,2,plot,2_18,1,4,701,76,4
GAZP,2,plot,2_18,1,4,701,77,6
GAZP,2,plot,2_18,1,4,701,78,8
GAZP,2,plot,2_18,1,4,701,79,10
GAZP,2,plot,2_18,1,4,701,80,12
GAZP,2,plot,2_18,1,4,701,81,14
GAZP,2,plot,2_18,1,4,701,82,16
GAZP,2,plot,2_18,1,5,702,74,0
GAZP,2,plot,2_18,1,5,702,75,2
GAZP,2,plot,2_18,1,5,702,76,4
GAZP,2,plot,2_18,1,5,702,77,6
GAZP,2,plot,2_18,1,5,702,78,8
GAZP,2,plot,2_18,1,5,702,79,10
GAZP,2,plot,2_18,1,5,702,80,12
GAZP,2,plot,2_18,1,5,702,81,14
GAZP,2,plot,2_18,1,5,702,82,16
GAZP,2,plot,2_18,1,6,703,74,0
GAZP,2,plot,2_18,1,6,703,75,2
GAZP,2,plot,2_18,1,6,703,76,4
GAZP,2,plot,2_18,1,6,703,77,6
GAZP,2,plot,2_18,1,6,703,78,8
GAZP,2,plot,2_18,1,6,703,79,10
GAZP,2,plot,2_18,1,6,703,80,12
GAZP,2,plot,2_18,1,6,703,81,14
GAZP,2,plot,2_18,1,6,703,82,16
GAZP,2,plot,2_18,1,7,704,74,0
GAZP,2,plot,2_18,1,7,704,75,2
GAZP,2,plot,2_18,1,7,704,76,4
GAZP,2,plot,2_18,1,7,704,77,6
GAZP,2,plot,2_18,1,7,704,78,8
GAZP,2,plot,2_18,1,7,704,79,10
GAZP,2,plot,2_18,1,7,704,80,12
GAZP,2,plot,2_18,1,7,704,81,14
GAZP,2,plot,2_18,1,7,704,82,16
GAZP,2,plot,2_18,1,8,705,74,0
GAZP,2,plot,2_18,1,8,705,75,2
GAZP,2,plot,2_18,1,8,705,76,4
GAZP,2,plot,2_18,1,8,705,77,6
GAZP,2,plot,2_18,1,8,705,78,8
GAZP,2,plot,2_18,1,8,705,79,10
GAZP,2,plot,2_18,1,8,705,80,12
GAZP,2,plot,2_18,1,8,705,81,14
GAZP,2,plot,2_18,1,8,705,82,16
GAZP,2,plot,2_19,1,1,706,83,0
GAZP,2,plot,2_19,1,2,707,83,0
GAZP,2,plot,2_19,1,3,708,83,0
GAZP,2,plot,2_19,1,4,709,83,0
GAZP,2,plot,2_19,1,5,710,83,0
GAZP,2,plot,2_19,1,6,711,83,0
GAZP,2,plot,2_19,1,7,712,83,0
GAZP,2,plot,2_19,1,8,713,83,0
GAZP,2,plot,2_2,1,1,714,84,0
GAZP,2,plot,2_2,1,2,715,84,0
GAZP,2,plot,2_2,1,3,716,84,0
GAZP,2,plot,2_2,1,4,717,84,0
GAZP,2,plot,2_2,1,5,718,84,0
GAZP,2,plot,2_2,1,6,719,84,0
GAZP,2,plot,2_2,1,7,720,84,0
GAZP,2,plot,2_2,1,8,721,84,0
GAZP,2,plot,2_20,1,1,722,85,0
GAZP,2,plot,2_20,1,2,723,85,0
GAZP,2,plot,2_20,1,3,724,85,0
GAZP,2,plot,2_20,1,4,725,85,0
GAZP,2,plot,2_20,1,5,726,85,0
GAZP,2,plot,2_20,1,6,727,85,0
GAZP,2,plot,2_20,1,7,728,85,0
GAZP,2,plot,2_20,1,8,729,85,0
GAZP,2,plot,2_21,1,1,730,86,0
GAZP,2,plot,2_21,1,2,731,86,0
GAZP,2,plot,2_21,1,3,732,86,0
GAZP,2,plot,2_21,1,4,733,86,0
GAZP,2,plot,2_21,1,5,734,86,0
GAZP,2,plot,2_21,1,6,735,86,0
GAZP,2,plot,2_21,1,7,736,86,0
GAZP,2,plot,2_21,1,8,737,86,0
GAZP,2,plot,2_22,1,1,738,87,0
GAZP,2,plot,2_22,1,1,738,88,2
GAZP,2,plot,2_22,1,1,738,89,4
GAZP,2,plot,2_22,1,1,738,90,6
GAZP,2,plot,2_22,1,1,738,91,8
GAZP,2,plot,2_22,1,1,738,92,10
GAZP,2,plot,2_22,1,1,738,93,12
GAZP,2,plot,2_22,1,1,738,94,14
GAZP,2,plot,2_22,1,1,738,95,16
GAZP,2,plot,2_22,1,2,739,87,0
GAZP,2,plot,2_22,1,2,739,88,2
GAZP,2,plot,2_22,1,2,739,89,4
GAZP,2,plot,2_22,1,2,739,90,6
GAZP,2,plot,2_22,1,2,739,91,8
GAZP,2,plot,2_22,1,2,739,92,10
GAZP,2,plot,2_22,1,2,739,93,12
GAZP,2,plot,2_22,1,2,739,94,14
GAZP,2,plot,2_22,1,2,739,95,16
GAZP,2,plot,2_22,1,3,740,87,0
GAZP,2,plot,2_22,1,3,740,88,2
GAZP,2,plot,2_22,1,3,740,89,4
GAZP,2,plot,2_22,1,3,740,90,6
GAZP,2,plot,2_22,1,3,740,91,8
GAZP,2,plot,2_22,1,3,740,92,10
GAZP,2,plot,2_22,1,3,740,93,12
GAZP,2,plot,2_22,1,3,740,94,14
GAZP,2,plot,2_22,1,3,740,95,16
GAZP,2,plot,2_22,1,4,741,87,0
GAZP,2,plot,2_22,1,4,741,88,2
GAZP,2,plot,2_22,1,4,741,89,4
GAZP,2,plot,2_22,1,4,741,90,6
GAZP,2,plot,2_22,1,4,741,91,8
GAZP,2,plot,2_22,1,4,741,92,10
GAZP,2,plot,2_22,1,4,741,93,12
GAZP,2,plot,2_22,1,4,741,94,14
GAZP,2,plot,2_22,1,4,741,95,16
GAZP,2,plot,2_22,1,5,742,87,0
GAZP,2,plot,2_22,1,5,742,88,2
GAZP,2,plot,2_22,1,5,742,89,4
GAZP,2,plot,2_22,1,5,742,90,6
GAZP,2,plot,2_22,1,5,742,91,8
GAZP,2,plot,2_22,1,5,742,92,10
GAZP,2,plot,2_22,1,5,742,93,12
GAZP,2,plot,2_22,1,5,742,94,14
GAZP,2,plot,2_22,1,5,742,95,16
GAZP,2,plot,2_22,1,6,743,87,0
GAZP,2,plot,2_22,1,6,743,88,2
GAZP,2,plot,2_22,1,6,743,89,4
GAZP,2,plot,2_22,1,6,743,90,6
GAZP,2,plot,2_22,1,6,743,91,8
GAZP,2,plot,2_22,1,6,743,92,10
GAZP,2,plot,2_22,1,6,743,93,12
GAZP,2,plot,2_22,1,6,743,94,14
GAZP,2,plot,2_22,1,6,743,95,16
GAZP,2,plot,2_22,1,7,744,87,0
GAZP,2,plot,2_22,1,7,744,88,2
GAZP,2,plot,2_22,1,7,744,89,4
GAZP,2,plot,2_22,1,7,744,90,6
GAZP,2,plot,2_22,1,7,744,91,8
GAZP,2,plot,2_22,1,7,744,92,10
GAZP,2,plot,2_22,1,7,744,93,12
GAZP,2,plot,2_22,1,7,744,94,14
GAZP,2,plot,2_22,1,7,744,95,16
GAZP,2,plot,2_22,1,8,745,87,0
GAZP,2,plot,2_22,1,8,745,88,2
GAZP,2,plot,2_22,1,8,745,89,4
GAZP,2,plot,2_22,1,8,745,90,6
GAZP,2,plot,2_22,1,8,745,91,8
GAZP,2,plot,2_22,1,8,745,92,10
GAZP,2,plot,2_22,1,8,745,93,12
