Plot,,Rep,Month,Year,Treatment,Site,Nurse,RP,Region,Aiz_can,Cha_inv,Che_den,Con_elo,Dro_his,Eri_mic,Gal_sar,Her_dis,Hip_ali,Hyp_sal,Leb_ser,Lei_sch,Man_alb,Pen_inc,Pte_div,G_Rus_spp,Sti_cil,Tet_fru,Tri_opp,Roe_mor
TR1_ALIVE6,6_22,6,Nov,2013,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE6,6_22,6,Nov,2014,ALIVE,TR1,FALSE,ALIVE,TR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE6,6_22,6,Nov,2015,ALIVE,TR1,FALSE,ALIVE,TR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE7,6_22,7,Aug,2013,ALIVE,TR1,FALSE,ALIVE,TR,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TR1_ALIVE7,6_22,7,Aug,2014,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE7,6_22,7,Aug,2015,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE7,6_22,7,Nov,2013,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE7,6_22,7,Nov,2014,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE7,6_22,7,Nov,2015,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE8,6_22,8,Aug,2013,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE8,6_22,8,Aug,2014,ALIVE,TR1,FALSE,ALIVE,TR,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE8,6_22,8,Aug,2015,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE8,6_22,8,Nov,2013,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE8,6_22,8,Nov,2014,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE8,6_22,8,Nov,2015,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE9,6_22,9,Aug,2013,ALIVE,TR1,FALSE,ALIVE,TR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE9,6_22,9,Aug,2014,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE9,6_22,9,Aug,2015,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE9,6_22,9,Nov,2013,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR1_ALIVE9,6_22,9,Nov,2014,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
TR1_ALIVE9,6_22,9,Nov,2015,ALIVE,TR1,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE1,6_22,16,Aug,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE1,6_22,16,Aug,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE1,6_22,16,Aug,2015,ALIVE,TR2,FALSE,ALIVE,TR,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE1,6_22,16,Nov,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE1,6_22,16,Nov,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE1,6_22,16,Nov,2015,ALIVE,TR2,FALSE,ALIVE,TR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE10,6_22,25,Aug,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,1,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1
TR2_ALIVE10,6_22,25,Aug,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0
TR2_ALIVE10,6_22,25,Aug,2015,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
TR2_ALIVE10,6_22,25,Nov,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE10,6_22,25,Nov,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
TR2_ALIVE10,6_22,25,Nov,2015,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
TR2_ALIVE11,6_22,26,Aug,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE11,6_22,26,Aug,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE11,6_22,26,Aug,2015,ALIVE,TR2,FALSE,ALIVE,TR,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TR2_ALIVE11,6_22,26,Nov,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
