area_key,parent_area_key,siteid,source_block,source_replicate,type,size,units,restoration_start_year,restoration_type,disturbance_end_year
plot:166:10211:461,block:166:10211,166,10211,461,plot,0.25,m2,2014,seeding,
plot:166:10211:501,block:166:10211,166,10211,501,plot,0.25,m2,2014,seeding,
plot:166:10211:541,block:166:10211,166,10211,541,plot,0.25,m2,2014,seeding,
block:166:10301,,166,10301,,block,,m2,2014,seeding,
plot:166:10301:163,block:166:10301,166,10301,163,plot,0.25,m2,2014,seeding,
plot:166:10301:73,block:166:10301,166,10301,73,plot,0.25,m2,2014,seeding,
block:166:10307,,166,10307,,block,,m2,2014,seeding,
plot:166:10307:102,block:166:10307,166,10307,102,plot,0.25,m2,2014,seeding,
plot:166:10307:142,block:166:10307,166,10307,142,plot,0.25,m2,2014,seeding,
block:166:10308,,166,10308,,block,,m2,2014,seeding,
plot:166:10308:461,block:166:10308,166,10308,461,plot,0.25,m2,2014,seeding,
plot:166:10308:501,block:166:10308,166,10308,501,plot,0.25,m2,2014,seeding,
plot:166:10308:541,block:166:10308,166,10308,541,plot,0.25,m2,2014,seeding,
block:166:10310,,166,10310,,block,,m2,2014,seeding,
plot:166:10310:143,block:166:10310,166,10310,143,plot,0.25,m2,2014,seeding,
plot:166:10310:63,block:166:10310,166,10310,63,plot,0.25,m2,2014,seeding,
block:166:10316,,166,10316,,block,,m2,2014,seeding,
plot:166:10316:102,block:166:10316,166,10316,102,plot,0.25,m2,2014,seeding,
plot:166:10316:142,block:166:10316,166,10316,142,plot,0.25,m2,2014,seeding,
block:166:10317,,166,10317,,block,,m2,2014,seeding,
plot:166:10317:461,block:166:10317,166,10317,461,plot,0.25,m2,2014,seeding,
plot:166:10317:501,block:166:10317,166,10317,501,plot,0.25,m2,2014,seeding,
plot:166:10317:541,block:166:10317,166,10317,541,plot,0.25,m2,2014,seeding,
block:166:10401,,166,10401,,block,,m2,2014,seeding,
plot:166:10401:463,block:166:10401,166,10401,463,plot,0.25,m2,2014,seeding,
plot:166:10401:543,block:166:10401,166,10401,543,plot,0.25,m2,2014,seeding,
block:166:10407,,166,10407,,block,,m2,2014,seeding,
plot:166:10407:102,block:166:10407,166,10407,102,plot,0.25,m2,2014,seeding,
plot:166:10407:142,block:166:10407,166,10407,142,plot,0.25,m2,2014,seeding,
block:166:10408,,166,10408,,block,,m2,2014,seeding,
plot:166:10408:101,block:166:10408,166,10408,101,plot,0.25,m2,2014,seeding,
plot:166:10408:141,block:166:10408,166,10408,141,plot,0.25,m2,2014,seeding,
plot:166:10408:61,block:166:10408,166,10408,61,plot,0.25,m2,2014,seeding,
block:166:10410,,166,10410,,block,,m2,2014,seeding,
plot:166:10410:143,block:166:10410,166,10410,143,plot,0.25,m2,2014,seeding,
plot:166:10410:63,block:166:10410,166,10410,63,plot,0.25,m2,2014,seeding,
block:166:10416,,166,10416,,block,,m2,2014,seeding,
plot:166:10416:502,block:166:10416,166,10416,502,plot,0.25,m2,2014,seeding,
plot:166:10416:542,block:166:10416,166,10416,542,plot,0.25,m2,2014,seeding,
block:166:10417,,166,10417,,block,,m2,2014,seeding,
plot:166:10417:461,block:166:10417,166,10417,461,plot,0.25,m2,2014,seeding,
plot:166:10417:501,block:166:10417,166,10417,501,plot,0.25,m2,2014,seeding,
plot:166:10417:541,block:166:10417,166,10417,541,plot,0.25,m2,2014,seeding,
block:166:10501,,166,10501,,block,,m2,2014,seeding,
plot:166:10501:142,block:166:10501,166,10501,142,plot,0.25,m2,2014,seeding,
plot:166:10501:62,block:166:10501,166,10501,62,plot,0.25,m2,2014,seeding,
block:166:10502,,166,10502,,block,,m2,2014,seeding,
plot:166:10502:101,block:166:10502,166,10502,101,plot,0.25,m2,2014,seeding,
plot:166:10502:141,block:166:10502,166,10502,141,plot,0.25,m2,2014,seeding,
plot:166:10502:61,block:166:10502,166,10502,61,plot,0.25,m2,2014,seeding,
block:166:10503,,166,10503,,block,,m2,2014,seeding,
plot:166:10503:463,block:166:10503,166,10503,463,plot,0.25,m2,2014,seeding,
plot:166:10503:543,block:166:10503,166,10503,543,plot,0.25,m2,2014,seeding,
block:166:10504,,166,10504,,block,,m2,2014,seeding,
plot:166:10504:502,block:166:10504,166,10504,502,plot,0.25,m2,2014,seeding,
plot:166:10504:542,block:166:10504,166,10504,542,plot,0.25,m2,2014,seeding,
block:166:10505,,166,10505,,block,,m2,2014,seeding,
plot:166:10505:101,block:166:10505,166,10505,101,plot,0.25,m2,2014,seeding,
plot:166:10505:141,block:166:10505,166,10505,141,plot,0.25,m2,2014,seeding,
plot:166:10505:61,block:166:10505,166,10505,61,plot,0.25,m2,2014,seeding,
block:166:10506,,166,10506,,block,,m2,2014,seeding,
plot:166:10506:143,block:166:10506,166,10506,143,plot,0.25,m2,2014,seeding,
plot:166:10506:63,block:166:10506,166,10506,63,plot,0.25,m2,2014,seeding,
block:166:10507,,166,10507,,block,,m2,2014,seeding,
plot:166:10507:142,block:166:10507,166,10507,142,plot,0.25,m2,2014,seeding,
plot:166:10507:62,block:166:10507,166,10507,62,plot,0.25,m2,2014,seeding,
block:166:10508,,166,10508,,block,,m2,2014,seeding,
plot:166:10508:463,block:166:10508,166,10508,463,plot,0.25,m2,2014,seeding,
plot:166:10508:543,block:166:10508,166,10508,543,plot,0.25,m2,2014,seeding,
block:166:10509,,166,10509,,block,,m2,2014,seeding,
plot:166:10509:461,block:166:10509,166,10509,461,plot,0.25,m2,2014,seeding,
plot:166:10509:501,block:166:10509,166,10509,501,plot,0.25,m2,2014,seeding,
plot:166:10509:541,block:166:10509,166,10509,541,plot,0.25,m2,2014,seeding,
block:166:10511,,166,10511,,block,,m2,2014,seeding,
plot:166:10511:463,block:166:10511,166,10511,463,plot,0.25,m2,2014,seeding,
plot:166:10511:543,block:166:10511,166,10511,543,plot,0.25,m2,2014,seeding,
block:166:10512,,166,10512,,block,,m2,2014,seeding,
plot:166:10512:461,block:166:10512,166,10512,461,plot,0.25,m2,2014,seeding,
plot:166:10512:501,block:166:10512,166,10512,501,plot,0.25,m2,2014,seeding,
plot:166:10512:541,block:166:10512,166,10512,541,plot,0.25,m2,2014,seeding,
block:166:10519,,166,10519,,block,,m2,2014,seeding,
plot:166:10519:462,block:166:10519,166,10519,462,plot,0.25,m2,2014,seeding,
plot:166:10519:542,block:166:10519,166,10519,542,plot,0.25,m2,2014,seeding,
block:166:10601,,166,10601,,block,,m2,2014,seeding,
plot:166:10601:502,block:166:10601,166,10601,502,plot,0.25,m2,2014,seeding,
plot:166:10601:542,block:166:10601,166,10601,542,plot,0.25,m2,2014,seeding,
block:166:10602,,166,10602,,block,,m2,2014,seeding,
plot:166:10602:143,block:166:10602,166,10602,143,plot,0.25,m2,2014,seeding,
plot:166:10602:63,block:166:10602,166,10602,63,plot,0.25,m2,2014,seeding,
block:166:10603,,166,10603,,block,,m2,2014,seeding,
plot:166:10603:102,block:166:10603,166,10603,102,plot,0.25,m2,2014,seeding,
plot:166:10603:142,block:166:10603,166,10603,142,plot,0.25,m2,2014,seeding,
block:166:10604,,166,10604,,block,,m2,2014,seeding,
plot:166:10604:101,block:166:10604,166,10604,101,plot,0.25,m2,2014,seeding,
plot:166:10604:141,block:166:10604,166,10604,141,plot,0.25,m2,2014,seeding,
plot:166:10604:61,block:166:10604,166,10604,61,plot,0.25,m2,2014,seeding,
block:166:10605,,166,10605,,block,,m2,2014,seeding,
plot:166:10605:143,block:166:10605,166,10605,143,plot,0.25,m2,2014,seeding,
plot:166:10605:63,block:166:10605,166,10605,63,plot,0.25,m2,2014,seeding,
block:166:10606,,166,10606,,block,,m2,2014,seeding,
plot:166:10606:142,block:166:10606,166,10606,142,plot,0.25,m2,2014,seeding,
plot:166:10606:62,block:166:10606,166,10606,62,plot,0.25,m2,2014,seeding,
block:166:10607,,166,10607,,block,,m2,2014,seeding,
plot:166:10607:463,block:166:10607,166,10607,463,plot,0.25,m2,2014,seeding,
plot:166:10607:543,block:166:10607,166,10607,543,plot,0.25,m2,2014,seeding,
block:166:10608,,166,10608,,block,,m2,2014,seeding,
plot:166:10608:461,block:166:10608,166,10608,461,plot,0.25,m2,2014,seeding,
plot:166:10608:501,block:166:10608,166,10608,501,plot,0.25,m2,2014,seeding,
plot:166:10608:541,block:166:10608,166,10608,541,plot,0.25,m2,2014,seeding,
block:166:10609,,166,10609,,block,,m2,2014,seeding,
plot:166:10609:142,block:166:10609,166,10609,142,plot,0.25,m2,2014,seeding,
plot:166:10609:62,block:166:10609,166,10609,62,plot,0.25,m2,2014,seeding,
block:166:10610,,166,10610,,block,,m2,2014,seeding,
plot:166:10610:463,block:166:10610,166,10610,463,plot,0.25,m2,2014,seeding,
plot:166:10610:543,block:166:10610,166,10610,543,plot,0.25,m2,2014,seeding,
block:166:10611,,166,10611,,block,,m2,2014,seeding,
plot:166:10611:101,block:166:10611,166,10611,101,plot,0.25,m2,2014,seeding,
plot:166:10611:141,block:166:10611,166,10611,141,plot,0.25,m2,2014,seeding,
plot:166:10611:61,block:166:10611,166,10611,61,plot,0.25,m2,2014,seeding,
block:166:10701,,166,10701,,block,,m2,2014,seeding,
plot:166:10701:493,block:166:10701,166,10701,493,plot,0.25,m2,2014,seeding,
plot:166:10701:573,block:166:10701,166,10701,573,plot,0.25,m2,2014,seeding,
block:166:10707,,166,10707,,block,,m2,2014,seeding,
plot:166:10707:502,block:166:10707,166,10707,502,plot,0.25,m2,2014,seeding,
plot:166:10707:542,block:166:10707,166,10707,542,plot,0.25,m2,2014,seeding,
block:166:10708,,166,10708,,block,,m2,2014,seeding,
plot:166:10708:101,block:166:10708,166,10708,101,plot,0.25,m2,2014,seeding,
plot:166:10708:141,block:166:10708,166,10708,141,plot,0.25,m2,2014,seeding,
plot:166:10708:61,block:166:10708,166,10708,61,plot,0.25,m2,2014,seeding,
block:166:10710,,166,10710,,block,,m2,2014,seeding,
plot:166:10710:463,block:166:10710,166,10710,463,plot,0.25,m2,2014,seeding,
plot:166:10710:543,block:166:10710,166,10710,543,plot,0.25,m2,2014,seeding,
block:166:10716,,166,10716,,block,,m2,2014,seeding,
plot:166:10716:502,block:166:10716,166,10716,502,plot,0.25,m2,2014,seeding,
plot:166:10716:542,block:166:10716,166,10716,542,plot,0.25,m2,2014,seeding,
block:166:10717,,166,10717,,block,,m2,2014,seeding,
plot:166:10717:101,block:166:10717,166,10717,101,plot,0.25,m2,2014,seeding,
plot:166:10717:141,block:166:10717,166,10717,141,plot,0.25,m2,2014,seeding,
plot:166:10717:61,block:166:10717,166,10717,61,plot,0.25,m2,2014,seeding,
block:166:10801,,166,10801,,block,,m2,2014,seeding,
plot:166:10801:143,block:166:10801,166,10801,143,plot,0.25,m2,2014,seeding,
plot:166:10801:63,block:166:10801,166,10801,63,plot,0.25,m2,2014,seeding,
block:166:10807,,166,10807,,block,,m2,2014,seeding,
plot:166:10807:502,block:166:10807,166,10807,502,plot,0.25,m2,2014,seeding,
plot:166:10807:542,block:166:10807,166,10807,542,plot,0.25,m2,2014,seeding,
block:166:10808,,166,10808,,block,,m2,2014,seeding,
plot:166:10808:461,block:166:10808,166,10808,461,plot,0.25,m2,2014,seeding,
plot:166:10808:501,block:166:10808,166,10808,501,plot,0.25,m2,2014,seeding,
plot:166:10808:541,block:166:10808,166,10808,541,plot,0.25,m2,2014,seeding,
block:166:10810,,166,10810,,block,,m2,2014,seeding,
plot:166:10810:463,block:166:10810,166,10810,463,plot,0.25,m2,2014,seeding,
plot:166:10810:543,block:166:10810,166,10810,543,plot,0.25,m2,2014,seeding,
block:166:10816,,166,10816,,block,,m2,2014,seeding,
plot:166:10816:102,block:166:10816,166,10816,102,plot,0.25,m2,2014,seeding,
plot:166:10816:142,block:166:10816,166,10816,142,plot,0.25,m2,2014,seeding,
block:166:10817,,166,10817,,block,,m2,2014,seeding,
plot:166:10817:101,block:166:10817,166,10817,101,plot,0.25,m2,2014,seeding,
plot:166:10817:141,block:166:10817,166,10817,141,plot,0.25,m2,2014,seeding,
plot:166:10817:61,block:166:10817,166,10817,61,plot,0.25,m2,2014,seeding,
block:166:10901,,166,10901,,block,,m2,2014,seeding,
plot:166:10901:102,block:166:10901,166,10901,102,plot,0.25,m2,2014,seeding,
plot:166:10901:142,block:166:10901,166,10901,142,plot,0.25,m2,2014,seeding,
plot:166:10901:182,block:166:10901,166,10901,182,plot,0.25,m2,2014,seeding,
plot:166:10901:22,block:166:10901,166,10901,22,plot,0.25,m2,2014,seeding,
plot:166:10901:62,block:166:10901,166,10901,62,plot,0.25,m2,2014,seeding,
block:166:10902,,166,10902,,block,,m2,2014,seeding,
plot:166:10902:101,block:166:10902,166,10902,101,plot,0.25,m2,2014,seeding,
plot:166:10902:141,block:166:10902,166,10902,141,plot,0.25,m2,2014,seeding,
plot:166:10902:181,block:166:10902,166,10902,181,plot,0.25,m2,2014,seeding,
plot:166:10902:21,block:166:10902,166,10902,21,plot,0.25,m2,2014,seeding,
plot:166:10902:61,block:166:10902,166,10902,61,plot,0.25,m2,2014,seeding,
block:166:10903,,166,10903,,block,,m2,2014,seeding,
plot:166:10903:423,block:166:10903,166,10903,423,plot,0.25,m2,2014,seeding,
plot:166:10903:463,block:166:10903,166,10903,463,plot,0.25,m2,2014,seeding,
plot:166:10903:503,block:166:10903,166,10903,503,plot,0.25,m2,2014,seeding,
plot:166:10903:543,block:166:10903,166,10903,543,plot,0.25,m2,2014,seeding,
plot:166:10903:583,block:166:10903,166,10903,583,plot,0.25,m2,2014,seeding,
block:166:10904,,166,10904,,block,,m2,2014,seeding,
plot:166:10904:102,block:166:10904,166,10904,102,plot,0.25,m2,2014,seeding,
plot:166:10904:142,block:166:10904,166,10904,142,plot,0.25,m2,2014,seeding,
plot:166:10904:182,block:166:10904,166,10904,182,plot,0.25,m2,2014,seeding,
plot:166:10904:22,block:166:10904,166,10904,22,plot,0.25,m2,2014,seeding,
plot:166:10904:62,block:166:10904,166,10904,62,plot,0.25,m2,2014,seeding,
block:166:10905,,166,10905,,block,,m2,2014,seeding,
plot:166:10905:101,block:166:10905,166,10905,101,plot,0.25,m2,2014,seeding,
plot:166:10905:141,block:166:10905,166,10905,141,plot,0.25,m2,2014,seeding,
plot:166:10905:181,block:166:10905,166,10905,181,plot,0.25,m2,2014,seeding,
plot:166:10905:21,block:166:10905,166,10905,21,plot,0.25,m2,2014,seeding,
plot:166:10905:61,block:166:10905,166,10905,61,plot,0.25,m2,2014,seeding,
block:166:10906,,166,10906,,block,,m2,2014,seeding,
plot:166:10906:103,block:166:10906,166,10906,103,plot,0.25,m2,2014,seeding,
plot:166:10906:133,block:166:10906,166,10906,133,plot,0.25,m2,2014,seeding,
plot:166:10906:173,block:166:10906,166,10906,173,plot,0.25,m2,2014,seeding,
plot:166:10906:23,block:166:10906,166,10906,23,plot,0.25,m2,2014,seeding,
plot:166:10906:63,block:166:10906,166,10906,63,plot,0.25,m2,2014,seeding,
block:166:10907,,166,10907,,block,,m2,2014,seeding,
plot:166:10907:102,block:166:10907,166,10907,102,plot,0.25,m2,2014,seeding,
plot:166:10907:142,block:166:10907,166,10907,142,plot,0.25,m2,2014,seeding,
plot:166:10907:182,block:166:10907,166,10907,182,plot,0.25,m2,2014,seeding,
plot:166:10907:22,block:166:10907,166,10907,22,plot,0.25,m2,2014,seeding,
plot:166:10907:62,block:166:10907,166,10907,62,plot,0.25,m2,2014,seeding,
block:166:10908,,166,10908,,block,,m2,2014,seeding,
plot:166:10908:423,block:166:10908,166,10908,423,plot,0.25,m2,2014,seeding,
plot:166:10908:463,block:166:10908,166,10908,463,plot,0.25,m2,2014,seeding,
plot:166:10908:503,block:166:10908,166,10908,503,plot,0.25,m2,2014,seeding,
plot:166:10908:543,block:166:10908,166,10908,543,plot,0.25,m2,2014,seeding,
plot:166:10908:583,block:166:10908,166,10908,583,plot,0.25,m2,2014,seeding,
block:166:10909,,166,10909,,block,,m2,2014,seeding,
plot:166:10909:101,block:166:10909,166,10909,101,plot,0.25,m2,2014,seeding,
plot:166:10909:141,block:166:10909,166,10909,141,plot,0.25,m2,2014,seeding,
plot:166:10909:181,block:166:10909,166,10909,181,plot,0.25,m2,2014,seeding,
plot:166:10909:21,block:166:10909,166,10909,21,plot,0.25,m2,2014,seeding,
plot:166:10909:61,block:166:10909,166,10909,61,plot,0.25,m2,2014,seeding,
block:166:10910,,166,10910,,block,,m2,2014,seeding,
plot:166:10910:102,block:166:10910,166,10910,102,plot,0.25,m2,2014,seeding,
plot:166:10910:142,block:166:10910,166,10910,142,plot,0.25,m2,2014,seeding,
plot:166:10910:182,block:166:10910,166,10910,182,plot,0.25,m2,2014,seeding,
plot:166:10910:22,block:166:10910,166,10910,22,plot,0.25,m2,2014,seeding,
plot:166:10910:62,block:166:10910,166,10910,62,plot,0.25,m2,2014,seeding,
block:166:10911,,166,10911,,block,,m2,2014,seeding,
plot:166:10911:113,block:166:10911,166,10911,113,plot,0.25,m2,2014,seeding,
plot:166:10911:143,block:166:10911,166,10911,143,plot,0.25,m2,2014,seeding,
plot:166:10911:183,block:166:10911,166,10911,183,plot,0.25,m2,2014,seeding,
plot:166:10911:23,block:166:10911,166,10911,23,plot,0.25,m2,2014,seeding,
plot:166:10911:73,block:166:10911,166,10911,73,plot,0.25,m2,2014,seeding,
block:166:10912,,166,10912,,block,,m2,2014,seeding,
plot:166:10912:421,block:166:10912,166,10912,421,plot,0.25,m2,2014,seeding,
plot:166:10912:461,block:166:10912,166,10912,461,plot,0.25,m2,2014,seeding,
plot:166:10912:501,block:166:10912,166,10912,501,plot,0.25,m2,2014,seeding,
plot:166:10912:541,block:166:10912,166,10912,541,plot,0.25,m2,2014,seeding,
plot:166:10912:581,block:166:10912,166,10912,581,plot,0.25,m2,2014,seeding,
block:166:11001,,166,11001,,block,,m2,2014,seeding,
plot:166:11001:112,block:166:11001,166,11001,112,plot,0.25,m2,2014,seeding,
plot:166:11001:152,block:166:11001,166,11001,152,plot,0.25,m2,2014,seeding,
plot:166:11001:182,block:166:11001,166,11001,182,plot,0.25,m2,2014,seeding,
plot:166:11001:22,block:166:11001,166,11001,22,plot,0.25,m2,2014,seeding,
plot:166:11001:62,block:166:11001,166,11001,62,plot,0.25,m2,2014,seeding,
block:166:11002,,166,11002,,block,,m2,2014,seeding,
plot:166:11002:421,block:166:11002,166,11002,421,plot,0.25,m2,2014,seeding,
plot:166:11002:461,block:166:11002,166,11002,461,plot,0.25,m2,2014,seeding,
plot:166:11002:501,block:166:11002,166,11002,501,plot,0.25,m2,2014,seeding,
plot:166:11002:541,block:166:11002,166,11002,541,plot,0.25,m2,2014,seeding,
plot:166:11002:581,block:166:11002,166,11002,581,plot,0.25,m2,2014,seeding,
block:166:11003,,166,11003,,block,,m2,2014,seeding,
plot:166:11003:103,block:166:11003,166,11003,103,plot,0.25,m2,2014,seeding,
plot:166:11003:143,block:166:11003,166,11003,143,plot,0.25,m2,2014,seeding,
plot:166:11003:183,block:166:11003,166,11003,183,plot,0.25,m2,2014,seeding,
plot:166:11003:23,block:166:11003,166,11003,23,plot,0.25,m2,2014,seeding,
plot:166:11003:63,block:166:11003,166,11003,63,plot,0.25,m2,2014,seeding,
block:166:11004,,166,11004,,block,,m2,2014,seeding,
plot:166:11004:422,block:166:11004,166,11004,422,plot,0.25,m2,2014,seeding,
plot:166:11004:462,block:166:11004,166,11004,462,plot,0.25,m2,2014,seeding,
plot:166:11004:502,block:166:11004,166,11004,502,plot,0.25,m2,2014,seeding,
plot:166:11004:542,block:166:11004,166,11004,542,plot,0.25,m2,2014,seeding,
plot:166:11004:582,block:166:11004,166,11004,582,plot,0.25,m2,2014,seeding,
block:166:11005,,166,11005,,block,,m2,2014,seeding,
plot:166:11005:101,block:166:11005,166,11005,101,plot,0.25,m2,2014,seeding,
plot:166:11005:141,block:166:11005,166,11005,141,plot,0.25,m2,2014,seeding,
plot:166:11005:181,block:166:11005,166,11005,181,plot,0.25,m2,2014,seeding,
plot:166:11005:21,block:166:11005,166,11005,21,plot,0.25,m2,2014,seeding,
plot:166:11005:61,block:166:11005,166,11005,61,plot,0.25,m2,2014,seeding,
block:166:11006,,166,11006,,block,,m2,2014,seeding,
plot:166:11006:103,block:166:11006,166,11006,103,plot,0.25,m2,2014,seeding,
plot:166:11006:133,block:166:11006,166,11006,133,plot,0.25,m2,2014,seeding,
plot:166:11006:173,block:166:11006,166,11006,173,plot,0.25,m2,2014,seeding,
plot:166:11006:23,block:166:11006,166,11006,23,plot,0.25,m2,2014,seeding,
plot:166:11006:63,block:166:11006,166,11006,63,plot,0.25,m2,2014,seeding,
block:166:11007,,166,11007,,block,,m2,2014,seeding,
plot:166:11007:102,block:166:11007,166,11007,102,plot,0.25,m2,2014,seeding,
plot:166:11007:142,block:166:11007,166,11007,142,plot,0.25,m2,2014,seeding,
plot:166:11007:182,block:166:11007,166,11007,182,plot,0.25,m2,2014,seeding,
plot:166:11007:22,block:166:11007,166,11007,22,plot,0.25,m2,2014,seeding,
plot:166:11007:62,block:166:11007,166,11007,62,plot,0.25,m2,2014,seeding,
block:166:11008,,166,11008,,block,,m2,2014,seeding,
plot:166:11008:103,block:166:11008,166,11008,103,plot,0.25,m2,2014,seeding,
plot:166:11008:143,block:166:11008,166,11008,143,plot,0.25,m2,2014,seeding,
plot:166:11008:183,block:166:11008,166,11008,183,plot,0.25,m2,2014,seeding,
plot:166:11008:23,block:166:11008,166,11008,23,plot,0.25,m2,2014,seeding,
plot:166:11008:63,block:166:11008,166,11008,63,plot,0.25,m2,2014,seeding,
block:166:11009,,166,11009,,block,,m2,2014,seeding,
plot:166:11009:111,block:166:11009,166,11009,111,plot,0.25,m2,2014,seeding,
plot:166:11009:141,block:166:11009,166,11009,141,plot,0.25,m2,2014,seeding,
plot:166:11009:181,block:166:11009,166,11009,181,plot,0.25,m2,2014,seeding,
plot:166:11009:31,block:166:11009,166,11009,31,plot,0.25,m2,2014,seeding,
plot:166:11009:71,block:166:11009,166,11009,71,plot,0.25,m2,2014,seeding,
block:166:1101,,166,1101,,block,,m2,2014,seeding,
plot:166:1101:13,block:166:1101,166,1101,13,plot,0.125,m2,2014,seeding,
plot:166:1101:23,block:166:1101,166,1101,23,plot,0.125,m2,2014,seeding,
