database,projectid,areaid,treatmentid
GAZP,11,4187,590
GAZP,11,4188,586
GAZP,11,4194,586
GAZP,11,4195,590
GAZP,11,4196,582
GAZP,11,4192,600
GAZP,11,4193,596
GAZP,11,4199,582
GAZP,11,4200,590
GAZP,11,4201,586
GAZP,11,4197,596
GAZP,11,4198,600
GAZP,11,3590,584
GAZP,11,3591,598
GAZP,11,3592,602
GAZP,11,3593,594
GAZP,11,3594,588
GAZP,11,4204,602
GAZP,11,4205,594
GAZP,11,4206,588
GAZP,11,4202,584
GAZP,11,4203,598
GAZP,11,4209,588
GAZP,11,4210,584
GAZP,11,4211,602
GAZP,11,4207,598
GAZP,11,4208,594
GAZP,11,4212,594
GAZP,11,4213,584
GAZP,11,4214,602
GAZP,11,4215,598
GAZP,11,4216,588
GAZP,11,3595,584
GAZP,11,3596,588
GAZP,11,3597,594
GAZP,11,3598,598
GAZP,11,3599,602
GAZP,11,3600,602
GAZP,11,3601,584
GAZP,11,3602,598
GAZP,11,3603,594
GAZP,11,3604,588
GAZP,11,3605,602
GAZP,11,3606,588
GAZP,11,3607,598
GAZP,11,3608,584
GAZP,11,3609,594
GAZP,11,3610,602
GAZP,11,3611,584
GAZP,11,3612,598
GAZP,11,3613,588
GAZP,11,3614,594
GAZP,11,3615,602
GAZP,11,3616,598
GAZP,11,3617,594
GAZP,11,3618,588
GAZP,11,3619,584
GAZP,11,3620,598
GAZP,11,3621,594
GAZP,11,3622,588
GAZP,11,3623,584
GAZP,11,3624,602
GAZP,11,3625,594
GAZP,11,3626,584
GAZP,11,3627,602
GAZP,11,3628,598
GAZP,11,3629,588
GAZP,11,3630,598
GAZP,11,3631,584
GAZP,11,3632,594
GAZP,11,3633,602
GAZP,11,3634,588
GAZP,11,4220,590
GAZP,11,4221,582
GAZP,11,4217,600
GAZP,11,4218,586
GAZP,11,4219,596
GAZP,11,4224,586
GAZP,11,4225,600
GAZP,11,4226,582
GAZP,11,4222,596
GAZP,11,4223,590
GAZP,11,4229,596
GAZP,11,4230,590
GAZP,11,4231,586
GAZP,11,4227,582
GAZP,11,4228,600
GAZP,11,4232,598
GAZP,11,4233,594
GAZP,11,4234,602
GAZP,11,4235,584
GAZP,11,4236,588
GAZP,11,4239,598
GAZP,11,4240,588
GAZP,11,4241,594
GAZP,11,4237,584
GAZP,11,4238,602
GAZP,11,4242,584
GAZP,11,4243,598
GAZP,11,4244,594
GAZP,11,4245,602
GAZP,11,4246,588
GAZP,11,4247,559
GAZP,11,4247,560
GAZP,11,4248,543
GAZP,11,4248,544
GAZP,11,4249,551
GAZP,11,4249,552
GAZP,11,4250,569
GAZP,11,4250,570
GAZP,11,4251,647
GAZP,11,4251,648
GAZP,11,4252,551
GAZP,11,4252,552
GAZP,11,4253,647
GAZP,11,4253,648
GAZP,11,4254,559
GAZP,11,4254,560
GAZP,11,4255,569
GAZP,11,4255,570
GAZP,11,4256,543
GAZP,11,4256,544
GAZP,11,4259,569
GAZP,11,4259,570
GAZP,11,4260,647
GAZP,11,4260,648
GAZP,11,4261,559
GAZP,11,4261,560
GAZP,11,4257,543
GAZP,11,4257,544
GAZP,11,4258,551
GAZP,11,4258,552
GAZP,11,4262,565
GAZP,11,4262,566
GAZP,11,4263,555
GAZP,11,4263,556
GAZP,11,4264,661
GAZP,11,4264,662
GAZP,11,4265,547
GAZP,11,4265,548
GAZP,11,4266,573
GAZP,11,4266,574
GAZP,11,4267,555
GAZP,11,4267,556
GAZP,11,4268,573
GAZP,11,4268,574
GAZP,11,4269,547
GAZP,11,4269,548
GAZP,11,4270,661
GAZP,11,4270,662
GAZP,11,4271,565
GAZP,11,4271,566
GAZP,11,4272,565
GAZP,11,4272,566
GAZP,11,4273,573
GAZP,11,4273,574
GAZP,11,4274,547
GAZP,11,4274,548
GAZP,11,4275,555
GAZP,11,4275,556
GAZP,11,4276,661
GAZP,11,4276,662
GAZP,11,4277,617
GAZP,11,4277,618
GAZP,11,4278,653
GAZP,11,4278,654
GAZP,11,4279,635
GAZP,11,4279,636
GAZP,11,4280,627
GAZP,11,4280,628
GAZP,11,4281,643
GAZP,11,4281,644
GAZP,11,4284,635
GAZP,11,4284,636
GAZP,11,4285,617
GAZP,11,4285,618
GAZP,11,4286,643
GAZP,11,4286,644
GAZP,11,4282,627
GAZP,11,4282,628
GAZP,11,4283,653
GAZP,11,4283,654
GAZP,11,4287,635
GAZP,11,4287,636
GAZP,11,4288,617
GAZP,11,4288,618
GAZP,11,4289,627
GAZP,11,4289,628
GAZP,11,4290,643
GAZP,11,4290,644
GAZP,11,4291,653
GAZP,11,4291,654
GAZP,11,4292,657
GAZP,11,4292,658
GAZP,11,4293,649
GAZP,11,4293,650
GAZP,11,4294,631
GAZP,11,4294,632
GAZP,11,4295,621
GAZP,11,4295,622
GAZP,11,4296,639
GAZP,11,4296,640
GAZP,11,4297,631
GAZP,11,4297,632
GAZP,11,4298,657
GAZP,11,4298,658
GAZP,11,4299,639
GAZP,11,4299,640
GAZP,11,4300,621
GAZP,11,4300,622
GAZP,11,4301,649
GAZP,11,4301,650
GAZP,11,4304,657
GAZP,11,4304,658
GAZP,11,4305,631
GAZP,11,4305,632
GAZP,11,4306,621
GAZP,11,4306,622
GAZP,11,4302,639
GAZP,11,4302,640
GAZP,11,4303,649
GAZP,11,4303,650
GAZP,11,4307,569
GAZP,11,4307,570
GAZP,11,4308,647
GAZP,11,4308,648
GAZP,11,4309,551
GAZP,11,4309,552
GAZP,11,4310,559
GAZP,11,4310,560
GAZP,11,4311,543
GAZP,11,4311,544
GAZP,11,4314,551
GAZP,11,4314,552
GAZP,11,4315,543
GAZP,11,4315,544
GAZP,11,4316,559
GAZP,11,4316,560
GAZP,11,4312,647
GAZP,11,4312,648
GAZP,11,4313,569
GAZP,11,4313,570
GAZP,11,4317,543
GAZP,11,4317,544
GAZP,11,4318,551
GAZP,11,4318,552
GAZP,11,4319,647
GAZP,11,4319,648
GAZP,11,4320,559
GAZP,11,4320,560
GAZP,11,4321,569
GAZP,11,4321,570
GAZP,11,4324,555
GAZP,11,4324,556
GAZP,11,4325,661
GAZP,11,4325,662
GAZP,11,4326,565
GAZP,11,4326,566
GAZP,11,4322,573
GAZP,11,4322,574
GAZP,11,4323,547
GAZP,11,4323,548
GAZP,11,4327,573
GAZP,11,4327,574
GAZP,11,4328,555
GAZP,11,4328,556
GAZP,11,4329,565
GAZP,11,4329,566
GAZP,11,4330,547
GAZP,11,4330,548
GAZP,11,4331,661
GAZP,11,4331,662
GAZP,11,4332,573
GAZP,11,4332,574
GAZP,11,4333,547
