database,projectid,object_type,source_treatmentid,source_treatment_event_key,block,replicate,areaid,treatmentid,source_trt_tsr
GAZP,11,plot,11_46,11_46::event_01,1109,11,3585,600,0
GAZP,11,plot,11_34,11_34::event_01,1109,21,3586,586,0
GAZP,11,plot,11_30,11_30::event_01,1109,31,3587,582,0
GAZP,11,plot,11_38,11_38::event_01,1109,41,3588,590,0
GAZP,11,plot,11_42,11_42::event_01,1109,51,3589,596,0
GAZP,11,plot,11_32,11_32::event_01,1110,13,3590,584,0
GAZP,11,plot,11_44,11_44::event_01,1110,23,3591,598,0
GAZP,11,plot,11_48,11_48::event_01,1110,33,3592,602,0
GAZP,11,plot,11_40,11_40::event_01,1110,43,3593,594,0
GAZP,11,plot,11_36,11_36::event_01,1110,53,3594,588,0
GAZP,11,plot,11_32,11_32::event_01,1111,12,3595,584,0
GAZP,11,plot,11_36,11_36::event_01,1111,22,3596,588,0
GAZP,11,plot,11_40,11_40::event_01,1111,32,3597,594,0
GAZP,11,plot,11_44,11_44::event_01,1111,42,3598,598,0
GAZP,11,plot,11_48,11_48::event_01,1111,52,3599,602,0
GAZP,11,plot,11_48,11_48::event_01,1112,12,3600,602,0
GAZP,11,plot,11_32,11_32::event_01,1112,22,3601,584,0
GAZP,11,plot,11_44,11_44::event_01,1112,32,3602,598,0
GAZP,11,plot,11_40,11_40::event_01,1112,42,3603,594,0
GAZP,11,plot,11_36,11_36::event_01,1112,52,3604,588,0
GAZP,11,plot,11_48,11_48::event_01,1113,13,3605,602,0
GAZP,11,plot,11_36,11_36::event_01,1113,23,3606,588,0
GAZP,11,plot,11_44,11_44::event_01,1113,33,3607,598,0
GAZP,11,plot,11_32,11_32::event_01,1113,43,3608,584,0
GAZP,11,plot,11_40,11_40::event_01,1113,53,3609,594,0
GAZP,11,plot,11_48,11_48::event_01,1114,11,3610,602,0
GAZP,11,plot,11_32,11_32::event_01,1114,21,3611,584,0
GAZP,11,plot,11_44,11_44::event_01,1114,31,3612,598,0
GAZP,11,plot,11_36,11_36::event_01,1114,41,3613,588,0
GAZP,11,plot,11_40,11_40::event_01,1114,51,3614,594,0
