project_code,projectid,source_treatmentid,tsr,source_month,source_day,supabase_areaid,supabase_veg_resultid,current_year,current_month,proposed_month,month_action,current_day,proposed_day,day_action
GAZP1,1,1_15,6,2,,213,213,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_15,6,2,,214,214,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_15,6,2,,215,215,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,216,216,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,217,217,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,218,218,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,219,219,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,220,220,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,221,221,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,222,222,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,223,223,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,224,224,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,225,225,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,226,226,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,227,227,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,228,228,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,229,229,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,230,230,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,231,231,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,232,232,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,233,233,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,234,234,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,235,235,2016,,2,update_missing,,,source_missing_leave_unchanged
